ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc
10209,539,0.07483216067315313,198003,52,2,7,16458,7,26,Rent,High School,Widowed,17,0.0
10210,469,0.10136558120200634,146462,24,1,4,10328,8,1,Own,High School,Widowed,8,0.0
10211,644,0.8336198521287846,153423,19,5,5,18795,11,3,Own,Bachelor,Widowed,2,0.16483359
10212,729,0.019729038892099426,190188,20,2,2,8277,4,25,Rent,Bachelor,Widowed,1,0.15497683
10213,304,0.31680166554899736,133478,33,5,0,18932,12,10,Rent,Masters,Widowed,17,0.0
10214,599,0.020096531811761298,103378,56,7,6,16593,2,8,Rent,Masters,Widowed,21,0.0
10215,335,0.32177422753696927,55202,47,7,10,8546,13,1,Own,Masters,Widowed,26,0.15340069
10216,334,0.12405256748307603,74097,30,1,7,3503,13,1,Mortgage,Masters,Widowed,25,0.15561092
10217,436,0.15573905155317513,161835,58,4,5,14847,11,10,Rent,Masters,Widowed,15,0.0
10218,606,0.3401899398898085,52429,18,5,14,7747,5,23,Mortgage,Masters,Widowed,24,0.0
10219,651,0.7589173919333791,174830,34,1,13,7449,16,3,Rent,Masters,Widowed,12,0.16398893
10220,754,0.5791047931272553,49710,30,5,18,11591,4,0,Rent,High School,Widowed,26,0.16653238
10221,790,0.6130854293459328,189700,22,8,0,19802,14,4,Own,High School,Divorced,17,0.16170375
10222,605,0.7679188530318832,83875,30,7,5,19966,9,16,Mortgage,Masters,Divorced,14,0.15846695
10223,602,0.08617693894965606,40201,62,2,4,10461,14,17,Rent,PhD,Widowed,26,0.16952807
10224,688,0.5854493305971693,163194,77,7,13,17797,0,16,Rent,Masters,Divorced,12,0.16462912
10225,464,0.3140672498628394,67121,32,6,2,19996,7,6,Own,High School,Widowed,0,0.0
10226,573,0.052390713467912575,154458,87,7,8,15797,13,19,Rent,High School,Widowed,22,0.0
10227,812,0.13416354287992605,178430,58,1,15,11114,12,1,Rent,Masters,Married,19,0.16718669
10228,450,0.2887101010016728,62751,37,7,16,14499,3,5,Rent,Masters,Divorced,10,0.0
10229,620,0.24327195965082837,93652,41,7,8,16840,8,0,Own,Masters,Widowed,25,0.0
10230,848,0.4981480110910429,79906,49,9,12,11115,0,13,Mortgage,High School,Widowed,19,0.0
10231,389,0.005543055417435161,109989,29,1,7,11823,0,6,Rent,PhD,Widowed,11,0.1524789
10232,687,0.010053781532214812,45731,83,9,8,9980,6,15,Mortgage,High School,Divorced,17,0.16375929
10233,723,0.033865716004318314,135677,26,7,15,17032,5,9,Rent,Masters,Single,5,0.0
10234,549,0.22423725118276794,46160,39,1,7,16155,17,28,Rent,High School,Widowed,0,0.15981571
10235,618,0.3062890566535652,119727,22,7,3,11377,16,1,Own,Masters,Divorced,7,0.15386406
10236,428,0.005732871186513333,36428,26,9,1,18769,6,16,Mortgage,PhD,Widowed,4,0.0
10237,600,0.5470288090504996,137391,30,7,5,15567,3,5,Mortgage,PhD,Widowed,15,0.0
10238,794,0.39633129849532966,54659,63,4,11,4939,15,4,Rent,Masters,Widowed,0,0.0
10239,699,0.029393380258136537,166213,58,4,10,5207,6,27,Mortgage,Masters,Widowed,10,0.16268344
10240,586,0.2852236814345428,124812,20,4,6,6719,5,11,Rent,Masters,Divorced,9,0.15899953
10241,847,0.24229631099800963,180024,62,7,0,18804,18,20,Mortgage,Bachelor,Widowed,12,0.16741794
10242,497,0.2985188036367109,25837,21,3,15,8395,17,2,Own,High School,Widowed,15,0.1569803
10243,621,0.28537336114326384,59583,54,4,13,2431,2,27,Rent,High School,Widowed,27,0.15442951
10244,584,0.5705493818963653,52351,28,8,0,5656,19,4,Rent,Masters,Widowed,17,0.0
10245,663,0.41532765911981206,97153,70,9,5,8073,1,4,Mortgage,High School,Widowed,1,0.0
10246,837,0.477704897053835,173255,32,5,6,12952,12,0,Own,Masters,Single,24,0.16641435
10247,400,0.14483411945040392,183026,22,6,0,3565,0,10,Rent,High School,Single,2,0.16534798
10248,734,0.10901039801993495,133521,39,7,17,11012,9,8,Own,Bachelor,Widowed,12,0.15686396
10249,359,0.18441254867086243,76640,51,7,7,1232,5,10,Rent,Bachelor,Widowed,12,0.16055858
10250,423,0.5212078717097506,125817,43,8,5,1417,3,11,Rent,Masters,Divorced,8,0.0
10251,771,0.2675236157267554,28658,32,6,0,2247,0,4,Mortgage,Bachelor,Widowed,13,0.0
10252,706,0.07829826569922049,176352,37,9,9,7267,6,6,Rent,Masters,Widowed,12,0.0
10253,583,0.0528437273935195,156845,66,8,17,15116,2,23,Mortgage,High School,Divorced,21,0.16906716
10254,485,0.036935577673178344,153860,24,4,4,16247,15,13,Rent,Masters,Single,3,0.1574801
10255,431,0.4193409869019321,194172,19,5,8,14735,12,3,Mortgage,Masters,Single,7,0.0
10256,824,0.18246311710911567,28144,18,6,2,6485,15,14,Mortgage,Masters,Widowed,27,0.0
10257,785,0.07647559259272318,106513,28,8,4,4999,2,10,Rent,High School,Divorced,2,0.1586239
10258,698,0.13999199258441497,79238,56,2,6,9158,8,8,Rent,Masters,Divorced,3,0.16896677
10259,532,0.12107562192652921,157747,60,1,11,9747,16,14,Rent,Masters,Widowed,18,0.16512947
10260,306,0.034708346800464085,23143,35,9,1,17207,9,2,Mortgage,Masters,Single,24,0.16310997
10261,686,0.2899902964134593,48129,33,4,14,14949,10,13,Mortgage,Masters,Widowed,14,0.0
10262,779,0.5002292854773249,162227,54,4,1,2649,3,13,Rent,PhD,Widowed,26,0.16620956
10263,325,0.4629941240225709,88452,35,2,19,10708,9,6,Rent,Masters,Widowed,19,0.15645462
10264,790,0.9509191792383628,111013,36,6,4,19100,1,6,Rent,Masters,Widowed,29,0.15090093
10265,554,0.5223320998743571,62723,26,7,11,19378,15,8,Rent,Masters,Widowed,25,0.0
10266,629,0.18423071876959896,146446,79,3,1,12850,2,3,Rent,Bachelor,Widowed,10,0.0
10267,602,0.036339846955347754,73493,30,9,9,9299,5,26,Mortgage,High School,Divorced,23,0.16481845
10268,668,0.6065325507608454,189931,42,9,12,16179,9,4,Mortgage,Masters,Single,9,0.0
10269,462,0.005216648384464229,105162,49,4,1,8531,17,7,Mortgage,High School,Divorced,12,0.16503157
10270,467,0.24673234464163984,103150,86,2,16,12440,1,17,Rent,High School,Widowed,7,0.15599108
10271,305,0.21558795842414957,195534,41,6,1,17979,9,9,Mortgage,Masters,Single,3,0.16092844
10272,681,0.40682873115867446,192405,66,6,4,16605,18,9,Rent,Masters,Widowed,29,0.0
10273,645,0.17937713677779255,180025,87,3,8,2598,7,0,Rent,High School,Single,2,0.16626495
10274,422,0.16342064079471785,169317,76,3,2,5447,9,6,Rent,High School,Divorced,4,0.16240571
10275,620,0.5660500594918558,156188,30,6,5,19669,13,11,Mortgage,High School,Divorced,12,0.16567275
10276,753,0.0903068722426763,106445,62,8,8,15416,17,14,Rent,High School,Widowed,29,0.0
10277,592,0.27902276963899564,110757,63,4,5,16964,9,3,Own,High School,Widowed,12,0.15555489
10278,567,0.25592464045436625,85410,50,9,8,4428,1,3,Mortgage,Masters,Widowed,19,0.0
10279,798,0.40103973828441375,145994,79,5,13,4744,14,16,Rent,Masters,Widowed,24,0.15903209
10280,538,0.3351492976920408,185890,33,3,14,11931,5,20,Rent,Masters,Divorced,19,0.16281363
10281,456,0.6654825385766813,24035,62,8,12,13943,12,2,Mortgage,Masters,Widowed,17,0.1628298
10282,832,0.1479096541977698,75171,48,1,4,17878,3,9,Mortgage,Masters,Widowed,2,0.0
10283,744,0.054451361336857684,105274,48,8,19,11913,14,0,Mortgage,Bachelor,Widowed,10,0.15305755
10284,701,0.4191700712727865,154105,58,1,11,9667,18,20,Rent,High School,Widowed,12,0.16571519
10285,764,0.07824035392683848,55324,47,2,1,5587,0,13,Rent,Masters,Widowed,9,0.0
10286,653,0.2319556739092905,94842,19,8,7,6384,0,9,Own,High School,Widowed,18,0.0
10287,636,0.8734768729600114,170582,25,9,4,10600,7,14,Own,Masters,Widowed,29,0.16710106
10288,433,0.16880870511999357,82115,41,1,2,4215,0,2,Rent,High School,Widowed,9,0.0
10289,672,0.4376393147037211,107626,73,7,11,2338,7,29,Rent,High School,Widowed,16,0.16256814
10290,628,0.5035325362823829,146487,44,6,8,15976,8,3,Mortgage,High School,Widowed,24,0.15060104
10291,639,0.2644662232566083,189286,83,6,9,13930,10,18,Rent,PhD,Widowed,18,0.1544746
10292,809,0.13385887187148549,91998,71,9,13,2522,19,8,Mortgage,Masters,Widowed,24,0.0
10293,844,0.3598776358162916,90596,30,3,1,9498,6,3,Mortgage,PhD,Widowed,18,0.0
10294,444,0.17550003158258964,119635,31,8,18,9316,15,9,Rent,Masters,Single,6,0.16443725
10295,738,0.080570550663289,182961,67,3,19,9519,0,15,Own,High School,Widowed,25,0.15409605
10296,840,0.5544802484403546,127341,54,6,14,1956,17,9,Rent,Masters,Widowed,7,0.0
10297,634,0.05054558284337818,121007,39,1,18,8216,8,9,Rent,Masters,Married,22,0.16256112
10298,687,0.700546388159266,163393,47,3,14,17745,0,19,Rent,Masters,Widowed,2,0.1513162
10299,634,0.2090041349227677,51862,81,3,9,19764,4,12,Rent,High School,Widowed,11,0.1554291
10300,637,0.2429698898006356,77744,40,0,16,12342,14,26,Rent,High School,Widowed,12,0.0
10301,642,0.2354277362720596,194192,30,8,1,19938,4,14,Own,High School,Widowed,3,0.0
10302,840,0.5949714265260786,107324,54,9,0,6005,9,19,Rent,High School,Widowed,18,0.0
10303,416,0.2425829784295629,195093,37,9,15,14806,4,9,Rent,Masters,Married,7,0.0
10304,635,0.08565926086863751,167079,30,6,3,17219,2,27,Own,Masters,Single,18,0.1681918
10305,555,0.16912141888305443,62014,60,8,9,10136,6,19,Rent,Bachelor,Widowed,1,0.0
10306,732,0.5293984852353579,48768,70,8,0,7419,1,6,Own,High School,Divorced,2,0.16251208
10307,337,0.13140028072582322,57425,31,3,1,9737,2,0,Own,Masters,Widowed,22,0.0
10308,843,0.4452381349989597,140410,22,2,13,4778,15,6,Mortgage,High School,Widowed,18,0.151573
10309,550,0.5062362143036565,34724,19,2,2,5521,18,16,Own,High School,Widowed,29,0.16801071
10310,305,0.12824723685884187,27893,58,5,13,18253,13,11,Rent,Masters,Widowed,0,0.0
10311,467,0.3633949091779618,110470,63,8,13,8012,14,11,Mortgage,High School,Widowed,16,0.16661987
10312,711,0.6854185459638037,118712,37,5,8,9834,2,23,Mortgage,High School,Widowed,12,0.16020335
10313,819,0.5280978502324892,111045,60,1,7,8794,1,9,Mortgage,Masters,Widowed,29,0.16643593
10314,805,0.8401936117582732,160635,53,8,2,3170,5,7,Rent,Masters,Divorced,5,0.15327796
10315,633,0.3282635270661861,70124,28,5,10,10999,16,25,Rent,Masters,Widowed,14,0.0
10316,839,0.13125557439627578,187702,26,5,0,7869,8,9,Rent,High School,Widowed,5,0.0
10317,784,0.3340513857630176,115060,51,7,4,14791,8,5,Rent,Masters,Widowed,2,0.0
10318,575,0.1360806978430077,41682,57,9,8,7314,5,19,Rent,Masters,Widowed,26,0.0
10319,699,0.3393965830051342,67016,60,0,16,19876,17,5,Rent,Masters,Widowed,8,0.0
10320,622,0.4356757301904979,37232,36,7,8,11705,15,26,Rent,High School,Widowed,22,0.15047961
10321,327,0.0554513622156525,70925,34,9,12,12727,8,21,Rent,Masters,Divorced,20,0.0
10322,824,0.22499433397728197,170436,75,6,8,14624,0,22,Mortgage,PhD,Widowed,7,0.0
10323,489,0.3531166693764014,158443,22,3,1,2325,2,24,Rent,Masters,Widowed,6,0.15013239
10324,818,0.19940957496978373,140448,44,5,7,8848,0,20,Rent,Bachelor,Widowed,10,0.0
10325,589,0.32436498833509697,55491,63,9,2,18281,3,12,Mortgage,Masters,Divorced,11,0.0
10326,595,0.3843940142978892,159570,86,9,13,2176,9,11,Own,High School,Widowed,1,0.0
10327,320,0.06351541224761215,25075,38,5,7,1196,6,19,Mortgage,High School,Divorced,18,0.16499925
10328,776,0.4205209466448786,187973,30,7,4,5794,12,2,Own,High School,Single,8,0.16757834
10329,693,0.028939715238427977,73684,59,4,0,12216,2,20,Mortgage,Bachelor,Widowed,9,0.16660635
10330,673,0.11561967696672659,103261,60,6,14,15450,12,23,Mortgage,PhD,Widowed,23,0.15485457
10331,752,0.9107685013972163,161136,83,6,9,2093,0,8,Rent,High School,Widowed,14,0.15972875
10332,812,0.1439456911962903,179676,22,6,9,4680,16,3,Own,High School,Widowed,21,0.0
10333,717,0.21335179512757851,168375,26,7,10,12300,3,12,Mortgage,Masters,Divorced,1,0.0
10334,757,0.29500096141857324,64446,41,6,17,17197,0,25,Rent,Masters,Divorced,6,0.16236475
10335,689,0.13107571715777322,189065,46,6,5,16745,2,2,Own,High School,Widowed,17,0.0
10336,361,0.45801320067099693,73719,34,9,8,12459,14,8,Mortgage,Masters,Single,13,0.15716109
10337,689,0.7491085505222805,91763,41,0,14,18966,2,13,Rent,Masters,Widowed,26,0.16694435
10338,339,0.31319869258776456,49391,31,2,6,12798,16,2,Rent,Masters,Widowed,23,0.0
10339,594,0.20315092061102813,186173,71,4,12,2905,10,22,Rent,High School,Widowed,15,0.15304464
10340,665,0.30914676891188986,67639,48,8,0,17608,11,3,Rent,High School,Widowed,27,0.0
10341,358,0.11938967873535022,20082,27,9,11,9768,8,3,Mortgage,Masters,Single,28,0.15005897
10342,746,0.624298725215921,131712,26,7,4,13761,12,22,Mortgage,High School,Widowed,15,0.0
10343,360,0.3694259521617492,26986,35,1,16,15809,15,6,Own,Masters,Widowed,20,0.16876249
10344,662,0.9697327565869647,82873,60,5,12,16372,3,0,Rent,Masters,Widowed,29,0.1551217
10345,788,0.132086510010329,164509,48,9,3,18185,3,27,Own,High School,Divorced,10,0.16131839
10346,733,0.6008485431731359,47358,82,3,4,7755,18,0,Rent,Masters,Widowed,0,0.15607922
10347,754,0.06302931688776447,93965,60,5,10,6016,14,6,Mortgage,High School,Widowed,25,0.0
10348,752,0.3465111336855802,167417,29,7,14,14672,7,16,Rent,Masters,Widowed,12,0.0
10349,357,0.3157768738939535,42046,72,7,2,17632,1,4,Rent,Masters,Married,19,0.16641147
10350,793,0.009782051134512915,114747,22,8,14,9010,14,8,Mortgage,Masters,Widowed,7,0.0
10351,592,0.3133704168418351,134371,87,3,3,4965,10,3,Rent,High School,Widowed,24,0.0
10352,489,0.7347852103535717,166106,29,5,1,12358,1,5,Own,High School,Widowed,13,0.16552661
10353,610,0.15584796242083054,198521,58,8,2,6973,10,27,Own,High School,Widowed,14,0.16257945
10354,705,0.9545009762329433,140452,25,8,6,1230,13,3,Mortgage,Masters,Widowed,3,0.0
10355,403,0.27241083265621757,55397,83,9,5,17172,13,12,Rent,Masters,Widowed,24,0.0
10356,819,0.08868054575177065,42238,22,7,16,7821,8,9,Mortgage,Masters,Widowed,25,0.0
10357,706,0.13563723321194,85407,42,3,18,6991,6,13,Rent,Masters,Divorced,25,0.1653138
10358,837,0.07336325185992332,126944,81,0,8,9522,12,24,Mortgage,High School,Widowed,12,0.16443698
10359,677,0.05506061141896812,153520,62,2,0,4286,10,7,Own,High School,Widowed,26,0.0
10360,461,0.146540418776271,146019,80,7,10,12011,16,10,Rent,Masters,Widowed,2,0.15680583
10361,537,0.9423241086041325,153501,31,4,9,6195,0,6,Rent,Masters,Widowed,12,0.0
10362,846,0.3581438023186625,119864,83,2,15,10921,3,8,Mortgage,High School,Widowed,19,0.15120988
10363,359,0.33985282980183895,38414,64,1,3,12573,4,1,Own,High School,Widowed,18,0.16729848
10364,788,0.2717280667206765,69272,49,0,13,10955,19,2,Rent,Bachelor,Widowed,15,0.16554284
10365,775,0.0690079143887099,105451,80,5,18,7393,8,8,Rent,Bachelor,Widowed,23,0.0
10366,602,0.04709833461910573,169607,20,7,3,18166,8,22,Rent,High School,Divorced,2,0.15028252
10367,368,0.18976814621076443,33679,68,8,12,4442,7,14,Own,High School,Widowed,25,0.1650001
10368,566,0.670790723449354,60159,79,8,0,4333,11,9,Own,High School,Widowed,3,0.15286005
10369,388,0.695752755764874,38135,24,9,5,16190,12,0,Mortgage,Masters,Widowed,11,0.0
10370,823,0.6795955089566378,88531,43,0,6,6930,8,1,Rent,High School,Widowed,2,0.0
10371,325,0.02309708292144852,159616,35,0,8,10418,5,2,Rent,High School,Married,1,0.16097826
10372,544,0.4923780594332299,167232,47,8,5,1498,9,5,Mortgage,High School,Widowed,11,0.0
10373,676,0.7687461088914361,143470,88,6,14,6802,1,4,Rent,Masters,Widowed,29,0.15192373
10374,302,0.04370449080733185,139650,37,3,4,3110,11,1,Mortgage,High School,Widowed,2,0.0
10375,592,0.34738937479231935,133062,76,9,6,3508,2,12,Own,High School,Widowed,23,0.0
10376,714,0.05062449829481497,173873,66,8,19,15427,3,10,Rent,Masters,Single,6,0.0
10377,723,0.170662140322539,198131,80,9,7,6491,2,7,Own,Masters,Widowed,16,0.0
10378,673,0.669828871557815,199240,38,6,17,8518,18,9,Rent,Masters,Widowed,16,0.16157502
10379,619,0.5487292934479051,166663,56,1,18,13956,12,8,Rent,Masters,Widowed,20,0.1577942
10380,521,0.3676882929948928,35688,49,9,18,11774,2,16,Rent,Bachelor,Widowed,13,0.16951273
10381,618,0.07885357916547375,154275,23,7,3,15374,12,13,Own,High School,Single,11,0.16852267
10382,457,0.715356507712254,186305,35,8,3,5345,11,11,Own,Masters,Divorced,3,0.16269264
10383,742,0.053533964736140804,172205,50,5,1,9460,4,14,Own,High School,Single,3,0.0
10384,620,0.5448342068157916,137859,73,8,19,19687,2,5,Rent,Bachelor,Widowed,2,0.16560812
10385,625,0.14219358344752353,143404,32,1,19,19648,18,29,Rent,High School,Divorced,9,0.16987857
10386,404,0.10441732059432274,103177,59,5,0,11712,2,21,Mortgage,Masters,Divorced,12,0.1687571
10387,801,0.01393183748228255,30096,45,8,5,5659,1,5,Own,Bachelor,Widowed,14,0.15244031
10388,542,0.37668500378392156,126570,53,9,8,5770,3,3,Mortgage,Bachelor,Widowed,17,0.16061732
10389,701,0.7228064957684504,33199,41,4,0,18482,14,15,Rent,Masters,Widowed,5,0.1553816
10390,321,0.5652362855875587,175328,69,8,5,2710,2,3,Rent,High School,Widowed,3,0.0
10391,685,0.08245503731790138,144717,74,2,10,3639,2,6,Rent,Masters,Widowed,12,0.0
10392,613,0.6877086463600056,179610,45,6,3,18121,12,0,Own,Bachelor,Widowed,2,0.16611373
10393,801,0.44739055162191665,148478,56,6,1,8689,13,19,Mortgage,Masters,Widowed,12,0.0
10394,637,0.22874385310319933,45814,18,9,7,13199,13,20,Rent,Masters,Divorced,19,0.1644101
10395,520,0.20868086253975626,153385,37,2,17,10059,4,2,Rent,Bachelor,Widowed,8,0.15971518
10396,612,0.4530717550378198,198549,27,5,6,18512,4,7,Rent,Bachelor,Widowed,23,0.16031317
10397,801,0.43759655483027005,183990,78,2,3,2294,0,9,Mortgage,Masters,Widowed,10,0.0
10398,767,0.10170081450386892,116797,28,1,19,1820,14,13,Own,High School,Widowed,9,0.15859428
10399,492,0.004915084535843772,176047,88,7,17,15948,17,25,Rent,High School,Widowed,6,0.0
10400,649,0.987810565520883,197456,26,3,14,17798,8,0,Rent,Masters,Married,3,0.0
10401,520,0.18880882769740215,135647,66,9,1,1201,7,22,Mortgage,Masters,Widowed,0,0.0
10402,651,0.32008794870250956,188602,21,0,5,9327,10,1,Own,High School,Widowed,16,0.16958398
10403,561,0.09966139480761549,110920,47,7,12,6027,7,14,Rent,Bachelor,Widowed,15,0.15006122
10404,727,0.7326348885542041,134553,36,8,5,18761,1,4,Rent,High School,Widowed,17,0.0
10405,469,0.3803302849548945,199439,76,0,15,12949,11,0,Rent,High School,Widowed,22,0.16787203
10406,321,0.06936880770610276,149819,59,3,2,15276,2,22,Rent,High School,Widowed,14,0.0
10407,801,0.47662996405926206,52494,54,8,16,4276,10,6,Rent,Masters,Widowed,13,0.0
10408,555,0.30817515688447616,190839,35,0,0,18841,3,2,Rent,Bachelor,Widowed,16,0.0
10409,608,0.325260265579451,158235,39,6,17,12932,7,12,Mortgage,High School,Widowed,26,0.1614075
10410,794,0.09972939833466776,173812,48,1,14,10940,12,18,Rent,Masters,Divorced,4,0.16430612
10411,584,0.5880569977396541,192285,83,0,18,10251,11,1,Rent,Masters,Widowed,5,0.1554148
10412,640,0.40867271422359375,131423,58,7,10,9085,5,8,Mortgage,Masters,Widowed,5,0.0
10413,303,0.8613875998646343,174493,47,6,10,16462,9,3,Rent,Masters,Widowed,8,0.15478079
10414,530,0.42053414158368774,91911,58,8,3,9600,17,23,Rent,Masters,Widowed,2,0.16214627
10415,638,0.06418977470890697,167499,36,4,19,15591,10,6,Rent,Masters,Single,28,0.0
10416,414,0.6239517645685398,133942,19,6,6,9588,0,21,Rent,Masters,Widowed,3,0.0
10417,696,0.1962340264032305,175484,24,9,10,11725,18,23,Mortgage,Masters,Widowed,4,0.0
10418,847,0.19221986762148524,93323,48,9,19,19948,13,24,Own,High School,Widowed,7,0.15360717
10419,808,0.7157447907213077,118001,41,8,16,15502,1,24,Rent,High School,Widowed,15,0.16266856
